resume_id,category,years_experience,skills,resume_description,location_preference,education,current_salary_expectation(usd)
RES-001,Senior Software Engineer,8,"Python, React, Node.js, AWS, Docker, Kubernetes, PostgreSQL, REST APIs",Senior Software Engineer with 8 years developing scalable web applications. Expert in Python and React with strong cloud experience.,"Seattle, Remote",Bachelor's Computer Science,145000
RES-002,ML Engineer,2,"Python, TensorFlow, PyTorch, Machine Learning, Data Science, Kubernetes, MLOps",ML Engineer specializing in computer vision and NLP. Deployed 15+ ML models to production with MLOps pipelines.,"San Francisco, Remote",Master's Machine Learning,155000
RES-003,Data Engineer,7,"SQL, Python, Apache Spark, Kafka, Airflow, BigQuery, ETL, Data Warehousing",Data Engineer with expertise in large-scale data pipelines. Processed 100TB+ daily volumes with stream processing.,"Remote, Austin",Bachelor's Data Science,140000
RES-004,DevOps Engineer,9,"Docker, Kubernetes, AWS, Terraform, CI/CD, Monitoring, Security, Infrastructure",Senior DevOps Engineer managing cloud infrastructure. Reduced deployment time by 80% through automation.,"Austin, Remote",Bachelor's Engineering,150000
RES-005,Senior Software Engineer,5,"Java, Spring Boot, MySQL, REST APIs, Git, Docker, Unit Testing",Software Engineer building enterprise applications. Strong Java and Spring experience with open-source contributions.,"Seattle, New York",Bachelor's Computer Science,110000
RES-006,Frontend Engineer,2,"React, JavaScript, TypeScript, HTML, CSS, Redux, Testing, Design Systems",Frontend Engineer focused on user experience. Built responsive applications serving 500K+ users.,"San Francisco, Remote",Bachelor's Computer Science,115000
RES-007,QA Engineer,3,"Test Automation, Selenium, API Testing, Quality Assurance, Python, CI/CD",QA Engineer specializing in automation. Reduced testing time by 60% through automation frameworks.,"Remote, Austin",Bachelor's Engineering,95000
RES-008,Software Engineer,2,"C++, Python, Algorithms, System Design, Performance Optimization, Linux",Systems Software Engineer with deep technical skills. Optimized algorithms improving performance by 40%.,"Seattle, Austin",Master's Computer Science,125000
RES-009,Data Engineer,2,"Python, SQL, Spark, Hadoop, Data Modeling, ETL, Analytics, Reporting",Data Engineer with big data expertise. Built data warehouses supporting business analytics and ML.,"Remote, New York",Bachelor's Data Science,105000
RES-010,DevOps Engineer,3,"Docker, AWS, CI/CD, Monitoring, Linux, Scripting, Infrastructure as Code",DevOps Engineer specializing in cloud automation. Implemented CI/CD reducing deployment failures by 70%.,"Austin, Remote",Bachelor's Engineering,100000
RES-011,Software Engineer,1,"Python, Git, REST APIs, Database, Problem Solving, Learning",Junior Software Engineer with strong fundamentals. Recent CS graduate eager to grow technical skills.,"Any, Remote",Bachelor's Computer Science,75000
